transaction_id,sender_id,receiver_id,amount,timestamp
TXN001,ACC_001,ACC_002,5000.00,2026-02-01 08:15:00
TXN002,ACC_003,ACC_002,3500.00,2026-02-01 09:30:00
TXN003,ACC_004,ACC_002,4200.00,2026-02-01 10:45:00
TXN004,ACC_005,ACC_006,2800.00,2026-02-01 11:20:00
TXN005,ACC_007,ACC_008,6100.00,2026-02-01 12:00:00
TXN006,ACC_009,ACC_010,1500.00,2026-02-01 13:15:00
TXN007,ACC_011,ACC_002,4900.00,2026-02-01 14:30:00
TXN008,ACC_012,ACC_013,3200.00,2026-02-01 15:45:00
TXN009,ACC_014,ACC_015,5500.00,2026-02-01 16:20:00
TXN010,ACC_016,ACC_017,2300.00,2026-02-01 17:00:00
TXN011,ACC_001,ACC_003,4100.00,2026-02-02 08:30:00
TXN012,ACC_018,ACC_002,3800.00,2026-02-02 09:15:00
TXN013,ACC_019,ACC_020,6200.00,2026-02-02 10:00:00
TXN014,ACC_021,ACC_022,2100.00,2026-02-02 11:30:00
TXN015,ACC_023,ACC_024,5000.00,2026-02-02 12:45:00
TXN016,ACC_025,ACC_026,3400.00,2026-02-02 13:20:00
TXN017,ACC_027,ACC_028,4600.00,2026-02-02 14:00:00
TXN018,ACC_029,ACC_030,2900.00,2026-02-02 15:30:00
TXN019,ACC_031,ACC_032,5700.00,2026-02-02 16:45:00
TXN020,ACC_033,ACC_034,1800.00,2026-02-02 17:20:00
